,R_O,R_O,R_O,R_O,R_O,R_O,R_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O,JW_O
,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-score_mean,F1-score_std,Support
idx,,,,,,,,,,,,,,
RF_large_0,0.956808109364355,0.002609964320821018,0.9044444444444445,0.007742977702647962,0.9298769431842967,0.004217835012527456,2400,0.33092127654261855,0.029487022864088146,0.4633333333333333,0.06806859285554048,0.38574094219865557,0.04234720717549159,100
RF_large_1,0.6867124571413438,0.01746097419115383,0.8366666666666666,0.010408329997330674,0.7542081846152747,0.011170935973201224,600,0.10437411679647705,0.07278240133284046,0.06666666666666667,0.055075705472861024,0.0810647882744066,0.06318429492342555,100
RF_medium_0,0.9591030044246418,0.003750099755832775,0.9054166666666666,0.0025344843876242713,0.9314864279130473,0.0030405930185569215,2400,0.3664843831376576,0.011257483441510124,0.51,0.030000000000000027,0.4260661324491111,0.009480669410742635,100
RF_medium_1,0.690856915390512,0.009150560137637504,0.8455555555555555,0.014369463507086185,0.7604142604142604,0.011247086300183574,600,0.17806577480490526,0.11812514530817338,0.11666666666666665,0.08386497083606083,0.14071661763969456,0.09852467346782418,100
RF_small_0,0.922986550189559,0.0073806643954414065,0.93375,0.021192733293382546,0.9282012748211667,0.007759846922329406,2400,0.391739769566043,0.02372639731991775,0.6433333333333332,0.061101009266077866,0.4868706113319548,0.03580393053912954,100
RF_small_1,0.72632562486163,0.054045015602691586,0.6877777777777778,0.0388134188326857,0.7046392650669201,0.014650419011194392,600,0.011111111111111112,0.019245008972987525,0.0033333333333333335,0.005773502691896258,0.005128205128205128,0.008882311833686549,100
siamese_large_0,0.9794567752079083,0.0034854168894119103,0.8602777777777777,0.010658308357194257,0.9159793986151975,0.005963367137984597,2400,0.742157287157287,0.04089767318925366,0.6733333333333333,0.07637626158259735,0.7051156336725253,0.05534241541666727,100
siamese_large_1,0.624400836316971,0.017280917007303463,0.9277777777777777,0.012729376930432893,0.7463184674531994,0.012673816335925231,600,0.7032553366174056,0.04981881975907521,0.7666666666666666,0.037859388972001855,0.7328651292802236,0.03539673408903199,100
siamese_medium_0,0.9673802975935527,0.004710412006104721,0.8379166666666666,0.01953895681282229,0.8978884033826117,0.009164247160209799,2400,0.7016328550222662,0.031175631914785628,0.64,0.017320508075688787,0.6691054206850682,0.017057956239750177,100
siamese_medium_1,0.5786713967921607,0.024462525690014433,0.8866666666666667,0.019649710204252668,0.6998383345127168,0.011650469060724,600,0.6685424252455037,0.01535959252034281,0.7266666666666666,0.040414518843273836,0.6961860690197502,0.02498324974046443,100
siamese_small_0,0.9115526969668425,0.013460217138250736,0.7745833333333333,0.06134063588773036,0.8364564380954714,0.03467556492717336,2400,0.5717535153019023,0.06774674508841382,0.6266666666666666,0.11372481406154653,0.5966386554621849,0.08371789430744232,100
siamese_small_1,0.44168882700237216,0.04951141135839266,0.6977777777777777,0.06596154884420104,0.5382545004660134,0.03597450612573785,600,0.5924707602339181,0.08039855722267815,0.5333333333333333,0.07571877794400365,0.5593692022263451,0.06741232764016389,100
jaccard_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
jaccard_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
jaccard_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
jaccard_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
jaccard_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
jaccard_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
jaro_Dec_stump_large_0,0.943254642188788,0.005056557545457238,0.8329166666666666,0.009851325347947382,0.8846265451026988,0.005132397950365924,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_large_1,0.5448783844703188,0.012609031530166084,0.7994444444444445,0.020092379244472377,0.6479257157486434,0.010716084144120846,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_medium_0,0.9456690488329534,0.002615162323004005,0.8293055555555555,0.006071525831776201,0.8836696448881103,0.004542552588457794,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_medium_1,0.5425231724569667,0.011191210351749041,0.8094444444444444,0.008388704928078635,0.6496213599851548,0.01064218120159619,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_small_0,0.9147415449157825,0.004570544441142374,0.8833333333333333,0.004639803635691682,0.8987487737286396,0.0013937262678545286,2400,0.0,0.0,0.0,0.0,0.0,0.0,100.0
jaro_Dec_stump_small_1,0.5896850363107191,0.005057486727375834,0.6705555555555556,0.020838888148345672,0.6274098958348088,0.009325970359009629,600,0.0,0.0,0.0,0.0,0.0,0.0,100.0
fuzz_ratio_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_ratio_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_ratio_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_ratio_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_token_ratio_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_token_ratio_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
fuzz_token_ratio_Dec_stump_small_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
fuzz_token_ratio_Dec_stump_small_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_large_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
distance_Dec_stump_large_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_medium_0,0.8000000000000002,1.3597399555105182e-16,1.0,0.0,0.888888888888889,0.0,2400,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,100
distance_Dec_stump_medium_1,0.0,0.0,0.0,0.0,0.0,0.0,600,0.0,0.0,0.0,0.0,0.0,0.0,100
distance_Dec_stump_small_0,0.8005266119528173,0.00046746506174181844,0.9809722222222222,0.016490387211050284,0.8815671895996141,0.006348690979935123,2400,0.5000536984830178,0.007772994530830567,0.9766666666666666,0.020816659994661344,0.6613935969868173,0.00913322459735005,100
distance_Dec_stump_small_1,0.15070242656449553,0.1305683567727413,0.022222222222222223,0.019245008972987525,0.0387317258401367,0.03354289732509426,600,0.2888888888888889,0.3421067626297923,0.02333333333333333,0.03214550253664318,0.04304645405562837,0.058838814035174575,100
